,name,epochs,hidden,dropout,cell_type,latentDim,optimiser,batch_size,numDecoders,numEncoders,best_val_loss,_runtime,accuracy,_timestamp,best_epoch,val_loss,val_accuracy,loss,_step,epoch,graph
138,LSTMen1_te_2_rmsprop_15_0.1_64_256,15,32,0.1,LSTM,256,rmsprop,64,2,1,1.4604812860488892,201.0,0.9528383016586304,1620517263.0,0.0,2.1290276050567627,0.7672281861305237,0.15618813037872314,11.0,11.0,"{'path': 'media/graph/graph_summary_0a46813d.graph.json', 'size': 1147, '_type': 'graph-file', 'sha256': '0a46813de82010be2bb773f509b3295357adccd9ffbe22d64c429e16a00d0373'}"
139,LSTMen1_te_1_rmsprop_20_0.2_64_128,20,128,0.2,LSTM,128,rmsprop,64,1,1,1.3973644971847534,153.0,0.8922125697135925,1620517044.0,0.0,1.7744228839874268,0.7597451210021973,0.3598369359970093,12.0,12.0,"{'size': 938, '_type': 'graph-file', 'sha256': '437bd7c180b54bbc5762242e4001d3c57760d9d29192942f6ba9fd5eccff1ec7', 'path': 'media/graph/graph_summary_437bd7c1.graph.json'}"
140,LSTMen1_te_2_rmsprop_10_0.1_64_256,10,128,0.1,LSTM,256,rmsprop,64,2,1,1.51930034160614,153.0,0.9403167366981506,1620516869.0,0.0,2.117762565612793,0.7751836180686951,0.19539086520671844,8.0,8.0,"{'path': 'media/graph/graph_summary_d8a56540.graph.json', 'size': 1149, '_type': 'graph-file', 'sha256': 'd8a56540aa467d935a691ec7a4672614914b5dfe5eee158a57bed2e3cc8d5d75'}"
141,GRUen1_te_2_rmsprop_20_0.1_64_256,20,64,0.1,GRU,256,rmsprop,64,2,1,1.586233377456665,144.0,0.945717751979828,1620516698.0,0.0,2.165518045425415,0.7768598794937134,0.18144208192825317,11.0,11.0,"{'size': 882, '_type': 'graph-file', 'sha256': 'd3a693c2fefb4f2391c58d953e856c8a938feacd08d36e925de8a171aebe4d26', 'path': 'media/graph/graph_summary_d3a693c2.graph.json'}"
142,LSTMen2_te_2_rmsprop_20_0.2_64_256,20,64,0.2,LSTM,256,rmsprop,64,2,2,1.5924897193908691,268.0,0.9327373504638672,1620516528.0,0.0,1.869773507118225,0.7739055752754211,0.22141480445861816,12.0,12.0,"{'path': 'media/graph/graph_summary_381c36c9.graph.json', 'size': 1323, '_type': 'graph-file', 'sha256': '381c36c9accc5e994e65ddf428414605a5175cec61d38f8b0d1c2813c5ecce1c'}"
143,LSTMen2_te_2_rmsprop_15_0.3_64_256,15,32,0.3,LSTM,256,rmsprop,64,2,2,1.4428861141204834,224.0,0.8907856345176697,1620516234.0,0.0,1.6637970209121704,0.7766746878623962,0.3680296242237091,10.0,10.0,"{'path': 'media/graph/graph_summary_c430df0a.graph.json', 'size': 1322, '_type': 'graph-file', 'sha256': 'c430df0aabdcaebddc30292828c88e2ceb25631ecd1453976f63bb87bf40707d'}"
144,GRUen1_te_2_rmsprop_20_0.3_64_256,20,128,0.3,GRU,256,rmsprop,64,2,1,1.4386404752731323,151.0,0.890882670879364,1620515993.0,0.0,1.7725224494934082,0.7538920044898987,0.3648236095905304,12.0,12.0,"{'path': 'media/graph/graph_summary_9d902fa2.graph.json', 'size': 883, '_type': 'graph-file', 'sha256': '9d902fa2ad31c7700e1e81a7df7e2f32092573cc52ebaef0abb02280b24653c9'}"
145,LSTMen2_te_1_rmsprop_20_0.3_64_256,20,32,0.3,LSTM,256,rmsprop,64,1,2,1.453437566757202,219.0,0.8961338400840759,1620515820.0,0.0,1.6533464193344116,0.7733221054077148,0.34850940108299255,12.0,12.0,"{'path': 'media/graph/graph_summary_d7d1d073.graph.json', 'size': 1109, '_type': 'graph-file', 'sha256': 'd7d1d07377021164047badabf2a0f38135cb548809ed2eff9a30ba0b7c58814c'}"
146,LSTMen2_te_1_rmsprop_20_0.2_32_256,20,128,0.2,LSTM,256,rmsprop,32,1,2,1.5176650285720823,237.0,0.9261547923088074,1620515579.0,0.0,2.055469751358032,0.7590134739875793,0.24477744102478027,7.0,7.0,"{'sha256': '24166d79a288bad89acdd21a5cfa740f4361904bfdc6ae88e4c82a84dcc31c7f', 'path': 'media/graph/graph_summary_24166d79.graph.json', 'size': 1111, '_type': 'graph-file'}"
147,LSTMen1_te_3_rmsprop_20_0.1_64_256,20,32,0.1,LSTM,256,rmsprop,64,3,1,1.4654536247253418,185.0,0.9441774487495422,1620515317.0,0.0,2.011729001998902,0.7674504518508911,0.18716467916965485,8.0,8.0,"{'path': 'media/graph/graph_summary_1c47873d.graph.json', 'size': 1356, '_type': 'graph-file', 'sha256': '1c47873d88faefd348d113c588b57bb21adf80d17576790023cf2b780ddf2778'}"
148,LSTMen1_te_1_rmsprop_20_0.2_32_256,20,32,0.2,LSTM,256,rmsprop,32,1,1,1.4793757200241089,183.0,0.9104362726211548,1620515114.0,1.0,1.6670163869857788,0.7653759717941284,0.30231958627700806,7.0,7.0,"{'path': 'media/graph/graph_summary_e931aaff.graph.json', 'size': 938, '_type': 'graph-file', 'sha256': 'e931aaffcecb3d71262022eb1914b7e98ddb34f62721f9ad038f9cda5fb1c10c'}"
149,LSTMen1_te_2_rmsprop_15_0.1_64_256,15,16,0.1,LSTM,256,rmsprop,64,2,1,1.4979934692382812,248.0,0.955720841884613,1620514909.0,0.0,2.3032584190368652,0.7714328169822693,0.14986839890480042,14.0,14.0,"{'path': 'media/graph/graph_summary_67c985b5.graph.json', 'size': 1147, '_type': 'graph-file', 'sha256': '67c985b5de33723ea7ce0ba73633f172f0cf263bac64ddd38a2902d26a63785f'}"
150,LSTMen1_te_1_rmsprop_10_0.1_64_256,10,64,0.1,LSTM,256,rmsprop,64,1,1,1.485815405845642,131.0,0.9422420859336852,1620514643.0,0.0,1.970772385597229,0.7726089954376221,0.19092682003974917,9.0,9.0,"{'path': 'media/graph/graph_summary_5a1f0a42.graph.json', 'size': 939, '_type': 'graph-file', 'sha256': '5a1f0a427785c213c6a93ea6eceb81654feef3f78fa5dbac27642fff4644b986'}"
151,LSTMen2_te_1_rmsprop_20_0.2_64_256,20,64,0.2,LSTM,256,rmsprop,64,1,2,1.413742184638977,173.0,0.9200496673583984,1620514490.0,0.0,1.7390878200531006,0.777387797832489,0.26659324765205383,9.0,9.0,"{'path': 'media/graph/graph_summary_4fc083e6.graph.json', 'size': 1110, '_type': 'graph-file', 'sha256': '4fc083e6f6002878fbc65d3fc8b4be93349cd4071b296dd115ad969ece88ba76'}"
152,LSTMen2_te_1_rmsprop_15_0.2_64_128,15,32,0.2,LSTM,128,rmsprop,64,1,2,1.4516667127609253,176.0,0.8994829654693604,1620514295.0,0.0,1.8092467784881592,0.7521231174468994,0.3406310975551605,12.0,12.0,"{'sha256': '80e6a8e572663bb4650531e31808c3fa06e5fce3cceefe85c560378b3eb1fe90', 'path': 'media/graph/graph_summary_80e6a8e5.graph.json', 'size': 1107, '_type': 'graph-file'}"
153,LSTMen1_te_1_rmsprop_20_0.1_64_256,20,128,0.1,LSTM,256,rmsprop,64,1,1,1.5161503553390503,127.0,0.9436099529266356,1620514101.0,0.0,1.935696601867676,0.7881771326065063,0.18499191105365753,9.0,9.0,"{'_type': 'graph-file', 'sha256': '6ce5ca7ad69ea1108c7363b4920d5bb6eea3bee0f225bcf1c1c0970d56262ae1', 'path': 'media/graph/graph_summary_6ce5ca7a.graph.json', 'size': 940}"
154,LSTMen1_te_1_rmsprop_20_0.2_64_256,20,128,0.2,LSTM,256,rmsprop,64,1,1,1.372972846031189,127.0,0.907815396785736,1620513956.0,0.0,1.7919790744781494,0.7765820622444153,0.30395326018333435,9.0,9.0,"{'_type': 'graph-file', 'sha256': '6ce5ca7ad69ea1108c7363b4920d5bb6eea3bee0f225bcf1c1c0970d56262ae1', 'path': 'media/graph/graph_summary_6ce5ca7a.graph.json', 'size': 940}"
155,LSTMen1_te_1_rmsprop_15_0.3_64_256,15,32,0.3,LSTM,256,rmsprop,64,1,1,1.531270980834961,160.0,0.8855212926864624,1620513812.0,0.0,1.8325663805007937,0.7484557032585144,0.3854488730430603,12.0,12.0,"{'path': 'media/graph/graph_summary_e931aaff.graph.json', 'size': 938, '_type': 'graph-file', 'sha256': 'e931aaffcecb3d71262022eb1914b7e98ddb34f62721f9ad038f9cda5fb1c10c'}"
156,LSTMen2_te_1_rmsprop_20_0.1_64_256,20,32,0.1,LSTM,256,rmsprop,64,1,2,1.5065537691116333,151.0,0.9427505731582642,1620513630.0,0.0,1.867591381072998,0.7650240063667297,0.19244490563869476,8.0,8.0,"{'path': 'media/graph/graph_summary_d7d1d073.graph.json', 'size': 1109, '_type': 'graph-file', 'sha256': 'd7d1d07377021164047badabf2a0f38135cb548809ed2eff9a30ba0b7c58814c'}"
157,LSTMen1_te_1_rmsprop_10_0.2_64_256,10,32,0.2,LSTM,256,rmsprop,64,1,1,1.3731377124786377,114.0,0.9061874151229858,1620513460.0,1.0,1.728451132774353,0.7780731320381165,0.3152863085269928,8.0,8.0,"{'sha256': 'e931aaffcecb3d71262022eb1914b7e98ddb34f62721f9ad038f9cda5fb1c10c', 'path': 'media/graph/graph_summary_e931aaff.graph.json', 'size': 938, '_type': 'graph-file'}"
158,LSTMen2_te_1_rmsprop_15_0.3_64_256,15,128,0.3,LSTM,256,rmsprop,64,1,2,1.392913579940796,151.0,0.8859366774559021,1620513325.0,0.0,1.7878925800323486,0.7591338753700256,0.3801944851875305,8.0,8.0,"{'path': 'media/graph/graph_summary_24166d79.graph.json', 'size': 1111, '_type': 'graph-file', 'sha256': '24166d79a288bad89acdd21a5cfa740f4361904bfdc6ae88e4c82a84dcc31c7f'}"
159,LSTMen1_te_1_rmsprop_15_0.3_64_256,15,128,0.3,LSTM,256,rmsprop,64,1,1,1.328150987625122,187.0,0.895021378993988,1620513157.0,0.0,1.6467878818511963,0.7695527672767639,0.34669962525367737,14.0,14.0,"{'path': 'media/graph/graph_summary_6ce5ca7a.graph.json', 'size': 940, '_type': 'graph-file', 'sha256': '6ce5ca7ad69ea1108c7363b4920d5bb6eea3bee0f225bcf1c1c0970d56262ae1'}"
160,LSTMen2_te_1_rmsprop_15_0.3_64_256,15,32,0.3,LSTM,256,rmsprop,64,1,2,1.4284883737564087,152.0,0.8821007609367371,1620512948.0,2.0,1.6015446186065674,0.7684784531593323,0.39959216117858887,8.0,8.0,"{'path': 'media/graph/graph_summary_d7d1d073.graph.json', 'size': 1109, '_type': 'graph-file', 'sha256': 'd7d1d07377021164047badabf2a0f38135cb548809ed2eff9a30ba0b7c58814c'}"
161,LSTMen2_te_1_rmsprop_20_0.2_64_256,20,128,0.2,LSTM,256,rmsprop,64,1,2,1.5561532974243164,216.0,0.9298959970474244,1620512774.0,1.0,1.841960072517395,0.775822639465332,0.2296293079853058,12.0,12.0,"{'sha256': '24166d79a288bad89acdd21a5cfa740f4361904bfdc6ae88e4c82a84dcc31c7f', 'path': 'media/graph/graph_summary_24166d79.graph.json', 'size': 1111, '_type': 'graph-file'}"
162,LSTMen1_te_1_rmsprop_20_0.3_64_256,20,128,0.3,LSTM,256,rmsprop,64,1,1,1.311720371246338,163.0,0.8895124793052673,1620512541.0,3.0,1.6413817405700684,0.7696083188056946,0.3671343326568603,12.0,12.0,"{'_type': 'graph-file', 'sha256': '6ce5ca7ad69ea1108c7363b4920d5bb6eea3bee0f225bcf1c1c0970d56262ae1', 'path': 'media/graph/graph_summary_6ce5ca7a.graph.json', 'size': 940}"
163,LSTMen1_te_1_rmsprop_20_0.3_64_256,20,32,0.3,LSTM,256,rmsprop,64,1,1,1.346311092376709,114.0,0.8718546628952026,1620512359.0,0.0,1.5484325885772705,0.7731739282608032,0.4320079088211059,8.0,8.0,"{'path': 'media/graph/graph_summary_e931aaff.graph.json', 'size': 938, '_type': 'graph-file', 'sha256': 'e931aaffcecb3d71262022eb1914b7e98ddb34f62721f9ad038f9cda5fb1c10c'}"
164,LSTMen2_te_2_rmsprop_15_0.2_64_128,15,64,0.2,LSTM,128,rmsprop,64,2,2,1.6063681840896606,236.0,0.9100900292396544,1620512219.0,0.0,1.92171573638916,0.7617270350456238,0.30089980363845825,14.0,14.0,"{'size': 1320, '_type': 'graph-file', 'sha256': '17e75d965c274778058bb70db30c7dd09ec88baf4c1c20c400bbbdad391c58e9', 'path': 'media/graph/graph_summary_17e75d96.graph.json'}"
165,LSTMen3_te_1_rmsprop_20_0.3_64_256,20,128,0.3,LSTM,256,rmsprop,64,1,3,1.424712061882019,241.0,0.9021698832511902,1620511959.0,0.0,1.6783716678619385,0.7710530757904053,0.32527589797973633,11.0,11.0,"{'path': 'media/graph/graph_summary_34435c4e.graph.json', 'size': 1280, '_type': 'graph-file', 'sha256': '34435c4e8bd53f0e82c07c24a13c3b25d12e6302aa3e28b6d970114080b53ef2'}"
